house_id,price,size_sqm,beds,baths,year_built,city,garage,rating
H0001,16981404.0,196.9,4,4,2014,Amsterdam,0,4.3
H0002,8332746.0,148.9,5,5,1998,Madrid,1,4.0
H0003,10761936.0,173.8,3,3,2011,Madrid,1,4.4
H0004,4872325.0,97.4,5,4,1995,Berlin,1,4.7
H0005,7575478.0,104.5,2,3,2022,Madrid,1,4.2
H0006,13698804.0,160.0,3,4,2017,Amsterdam,1,4.3
H0007,12641808.0,163.0,5,6,2010,London,0,4.5
H0008,8352590.0,144.6,4,4,2021,Madrid,1,3.9
H0009,11122216.0,153.3,4,5,2019,Madrid,0,4.6
H0010,11017656.0,138.9,4,4,2009,Berlin,1,4.5
H0011,15772861.0,191.6,4,6,2023,London,1,4.3
H0012,10022928.0,168.3,5,6,2014,Amsterdam,0,4.6
H0013,9933987.0,147.3,4,4,2024,Berlin,1,4.8
H0014,9428133.0,155.3,5,6,1997,London,0,4.2
H0015,7743285.0,147.6,4,4,1995,Berlin,0,4.8
H0016,5874115.0,106.2,1,2,2005,Berlin,1,4.5
H0017,6802561.0,107.8,2,2,2014,Madrid,1,3.9
H0018,11352500.0,116.1,1,1,2009,London,1,4.7
H0019,8407416.0,131.9,2,2,1999,Amsterdam,1,3.7
H0020,6143951.0,100.1,2,2,2006,Madrid,1,3.7
H0021,6295337.0,197.2,5,4,2002,Madrid,1,3.1
H0022,6256758.0,68.9,1,1,2006,London,1,4.3
H0023,10935885.0,138.4,3,3,2020,Berlin,0,3.9
H0024,9376305.0,115.7,2,2,2013,London,1,4.6
H0025,5362765.0,104.7,1,1,1998,Amsterdam,1,3.9
H0026,11326978.0,164.0,4,5,2024,Berlin,1,4.1
H0027,7101273.0,121.1,4,5,2006,Amsterdam,0,3.4
H0028,13419580.0,178.2,3,4,2013,Amsterdam,1,4.7
H0029,11461448.0,152.0,2,2,2014,Amsterdam,1,4.4
H0030,9789834.0,168.2,4,4,2019,Berlin,1,4.2
H0031,9492571.0,161.5,3,4,2010,Madrid,1,4.2
H0032,6262325.0,146.6,3,3,1996,Amsterdam,1,4.5
H0033,17623647.0,177.3,4,5,2021,London,1,3.9
H0034,7108815.0,175.1,5,6,2001,Madrid,1,3.7
H0035,12105785.0,180.3,4,5,2018,Berlin,0,3.9
H0036,12410038.0,154.7,3,4,2007,London,1,4.3
H0037,9292587.0,106.0,2,3,2007,London,1,3.8
H0038,4495004.0,102.7,1,1,2000,London,1,3.3
H0039,9392952.0,164.7,4,3,2014,Amsterdam,1,3.9
H0040,11371363.0,174.4,4,4,2015,Amsterdam,1,3.6
H0041,9944337.0,179.6,4,6,1997,London,1,4.6
H0042,16920761.0,116.0,2,2,2005,London,1,4.7
H0043,13662200.0,176.8,3,4,2019,London,1,4.6
H0044,13849982.0,143.0,5,6,2008,London,0,3.9
H0045,7406729.0,149.8,3,3,2012,Madrid,1,4.6
H0046,9241026.0,166.6,1,1,2016,Madrid,1,4.1
H0047,11573429.0,182.7,4,4,2000,London,1,3.2
H0048,11890566.0,188.2,5,6,2005,Madrid,1,3.2
H0049,11188560.0,168.7,4,3,2014,Berlin,1,4.4
H0050,8394205.0,118.4,3,4,2014,Berlin,1,4.5
H0051,15055243.0,152.7,2,3,2011,London,1,4.9
H0052,8725244.0,151.7,3,3,2021,Madrid,1,3.9
H0053,8563249.0,149.6,3,5,2021,Berlin,0,4.5
H0054,11538830.0,160.7,3,4,2022,Amsterdam,1,4.3
H0055,14592802.0,165.3,4,4,2022,Berlin,0,4.3
H0056,4522811.0,51.4,1,1,2008,London,0,4.3
H0057,10573689.0,159.1,5,4,2012,Berlin,1,4.4
H0058,11324954.0,150.1,2,2,2020,London,1,4.5
H0059,7200212.0,126.3,2,2,2008,Madrid,1,4.4
H0060,8515812.0,128.8,4,5,2009,London,1,4.5
H0061,8297624.0,154.4,5,4,2017,Amsterdam,1,4.6
H0062,9983646.0,159.8,2,3,2001,London,0,4.6
H0063,9766151.0,157.6,4,5,2006,London,1,4.5
H0064,9375641.0,120.0,3,4,2019,Amsterdam,1,3.5
H0065,13389633.0,190.1,3,4,2008,London,1,3.3
H0066,4055723.0,110.2,3,5,1999,Madrid,1,3.6
H0067,3762929.0,109.8,1,1,1997,Madrid,1,4.2
H0068,5698519.0,86.5,3,3,2013,Amsterdam,1,3.4
H0069,8657483.0,189.5,5,6,1998,Madrid,0,4.1
H0070,5623722.0,118.9,2,3,2002,Berlin,0,4.0
H0071,3807890.0,73.1,1,1,2013,Madrid,1,4.2
H0072,12147882.0,176.2,4,6,2020,London,1,3.7
H0073,7375018.0,118.7,1,1,2006,Madrid,1,4.6
H0074,10133275.0,122.7,2,4,2007,Amsterdam,1,4.9
H0075,7167042.0,134.3,2,2,2020,Berlin,1,4.5
H0076,10389077.0,221.5,5,6,2024,Berlin,1,4.7
H0077,9512918.0,127.2,3,4,2023,Amsterdam,1,4.5
H0078,12482168.0,183.0,5,6,2002,London,1,4.3
H0079,5607889.0,132.2,2,2,2001,Madrid,1,4.3
H0080,16341892.0,191.6,5,4,1997,London,1,4.5
H0081,8264962.0,152.0,2,2,1997,Berlin,1,4.8
H0082,13718002.0,156.9,2,2,2015,Berlin,1,3.9
H0083,13156913.0,163.8,3,4,2018,London,1,3.7
H0084,11178215.0,176.5,5,4,1995,London,1,4.4
H0085,6666369.0,142.5,3,5,2013,Madrid,0,3.6
H0086,7582863.0,142.4,3,4,2018,Madrid,1,4.8
H0087,8912957.0,166.3,3,4,2001,Madrid,0,3.8
H0088,6827171.0,160.5,3,4,2000,Madrid,1,4.6
H0089,8248172.0,167.3,3,4,2007,Madrid,1,4.5
H0090,11017333.0,129.6,3,4,2016,London,1,4.4
H0091,6904211.0,105.3,3,4,2002,Amsterdam,0,4.9
H0092,8014057.0,146.2,4,5,2019,Berlin,1,4.1
H0093,6449333.0,121.5,3,4,2022,Berlin,1,3.3
H0094,7179961.0,154.5,2,2,2006,Madrid,1,3.3
